,0
street,2051
sexual,1344
health,1306
property,1207
time,1201
michael,1193
ayele,1113
discussions,1097
black,1052
women,1025
report,981
disabilities,914
number,910
and,858
project,846
rights,844
governor,825
email,800
police,782
st,770
fbi,749
title,731
agency,711
man,704
labor,695
address,694
years,685
national,683
murder,680
ms,667
civil,654
work,642
court,634
january,632
present,628
certified,615
woman,614
disability,604
well,593
us,589
services,588
college,565
eeoc,564
commission,562
aacl,561
states,554
hazardous,553
employment,553
parents,542
name,534
staff,523
storage,522
day,520
environmental,520
school,520
reports,519
use,518
doj,516
management,515
response,513
case,513
white,507
rape,503
immediate,501
decision,500
employee,499
october,499
executive,495
general,491
investigation,489
first,488
file,486
missouri,480
subject,478
assault,476
site,473
enforcement,469
discrimination,461
told,461
percent,458
york,449
lhh,447
workers,447
plaintiff,444
contact,440
data,438
director,436
employees,433
tanks,431
contractor,422
team,421
students,420
pay,419
contract,419
copies,419
june,417
amount,417
2022,414
entity,413
december,413
