,0
sexual,651
michael,589
ayele,565
discussions,539
black,517
women,496
disabilities,465
rights,419
governor,411
fbi,372
police,359
man,342
murder,335
national,331
report,313
time,312
disability,301
civil,300
woman,299
eeoc,295
court,284
aacl,283
college,278
ms,274
employment,270
parents,268
states,264
health,261
agency,260
doj,257
white,250
rape,249
commission,246
years,242
discrimination,238
assault,237
missouri,236
school,234
decision,230
percent,228
well,224
plaintiff,221
york,219
told,218
workers,211
investigation,209
students,207
wage,196
general,195
work,193
children,192
ncd,189
and,187
university,186
october,182
conversations,182
case,181
employee,180
title,179
first,179
allegations,178
modmh,178
executive,176
day,173
abortion,170
israel,170
american,170
complaint,170
united,169
local,168
team,168
harassment,168
state,166
even,166
nassar,165
many,163
support,162
likely,162
informed,162
jeanne,160
clery,160
enforcement,159
media,154
employees,151
members,150
suicide,150
exonerations,150
vii,149
purpose,149
tipped,147
minimum,147
concluded,147
effective,147
activities,146
news,145
ii,145
holly,143
without,143
abuse,143
december,142
legal,142
angeles,141
los,141
care,141
subject,140
mental,140
january,139
opportunity,138
consent,137
attorney,137
education,137
june,136
players,136
2013,136
right,136
charge,135
misconduct,135
times,135
justice,134
crimo,132
racial,132
services,132
jennifer,131
riley,131
use,129
yes,129
district,128
number,128
ann,128
officers,128
wordpress,127
violence,126
congress,125
depape,124
training,123
lawrence,122
council,122
gov,121
defendants,120
aipac,119
victims,119
rothwell,118
staff,117
2016,117
child,116
field,116
human,115
iii,115
westminster,115
director,114
prison,114
research,114
history,114
asked,113
2015,113
go,112
reported,112
ix,112
march,112
april,111
cases,111
make,111
according,110
committee,110
home,110
way,110
criminal,110
pelosi,110
issues,109
dhs,109
september,108
august,108
see,108
colleges,108
call,108
policy,107
officer,107
month,107
non,107
sexually,106
november,106
group,106
association,106
since,105
finding,105
anti,105
response,105
much,104
simon,104
us,104
house,103
among,103
fulton,103
website,103
letter,103
though,102
received,102
caucasian,102
fsh,102
safety,102
contact,101
convicted,101
get,101
affirmative,101
supreme,100
service,100
family,100
world,100
2014,99
kaitlin,99
part,99
shooting,99
cable,98
official,97
charges,97
conduct,97
indianapolis,97
high,96
making,96
used,95
ocasio,95
never,95
another,95
cortez,95
2018,95
17,95
pdf,94
held,94
member,94
food,94
convictions,94
1991,93
griner,93
several,93
months,92
1964,92
community,92
life,91
uvalde,91
texas,91
called,91
back,91
iv,90
universities,90
hour,90
complaints,90
working,90
representatives,90
degree,90
treatment,90
n,89
agencies,89
others,89
job,88
equal,87
investigative,87
paul,86
advancement,86
ever,86
entity,86
liberties,86
press,86
going,86
weinstein,85
21,85
sent,85
tara,85
officials,85
schoolcraft,84
committed,84
2,84
fast,84
ice,84
20,84
security,84
presented,84
testified,84
evidence,84
published,84
days,84
later,83
16,83
still,83
file,83
18,83
five,82
medical,82
gender,82
exonerees,82
often,81
need,81
joint,81
social,81
chamber,81
individuals,80
w,80
says,79
person,79
based,79
race,79
system,79
incident,79
county,79
felt,78
less,78
process,78
question,78
professional,78
alexandria,77
processing,77
similar,77
innocent,77
say,77
files,76
six,76
504,76
required,76
2022,76
promptly,76
000,76
bill,76
operations,75
order,75
must,75
men,75
questions,75
city,75
foia,75
failed,75
meeting,74
assistant,74
left,74
four,74
racist,74
program,74
hours,74
took,73
center,73
14,73
families,73
administration,72
campus,72
30,72
sites,72
disclosed,72
facebook,71
age,71
living,71
upon,71
february,71
concerns,71
political,71
m,71
elementary,71
find,71
vi,71
gmail,70
access,70
clear,70
player,70
academic,70
patients,70
death,69
help,69
the,69
fee,69
michigan,69
federal,69
employed,69
efforts,69
want,69
every,68
sentenced,68
described,68
chief,68
crime,68
identified,68
began,68
writing,68
african,68
basis,68
trooper,67
event,67
roe,67
however,67
recalled,67
statements,67
face,67
informal,66
david,66
twitter,66
backgrounds,66
policies,66
1986,66
default,66
review,66
usa,66
place,66
good,66
elected,66
circumstances,65
prevention,65
drugs,65
michaelayeleaacl,65
registry,65
inform,65
musk,64
shim,64
recent,64
recognizes,64
throughout,64
william,64
of,64
programs,64
assigned,63
village,63
physical,63
youtube,63
standards,63
guilty,63
funding,63
in,63
charged,63
money,63
nyag,62
possession,62
recommends,62
origins,62
experienced,62
given,62
stated,62
article,62
americans,62
action,62
cannabis,62
harvey,62
soccer,62
knowledge,62
testimony,61
data,61
groups,61
address,61
denounce,61
keep,61
drug,61
relationship,61
statement,61
fact,61
nwsl,61
25,61
america,61
name,61
reasons,61
suffern,60
term,60
2010,60
half,60
waiver,60
gymnastics,60
personal,60
despite,60
28,60
background,60
brittney,60
online,60
bureau,60
appropriate,60
robb,60
expedited,60
taken,60
old,59
mail,59
went,59
message,59
year,59
higher,59
arrested,59
suspect,59
president,59
trial,59
saying,59
account,59
mcknight,59
means,59
increase,59
last,59
democratic,58
ucla,58
long,58
patient,58
washington,58
interview,58
calendar,58
least,58
documents,58
significant,57
issue,57
amendments,57
came,57
p,57
psychiatric,57
wanted,57
laws,57
someone,56
hospital,56
individual,56
extent,56
away,56
far,56
organizations,56
submitted,56
archive,56
constitutes,55
become,55
became,55
gerard,55
post,55
louis,55
1972,55
24,55
financial,55
emotional,54
full,54
comments,54
ensuring,54
behavior,54
seven,54
experience,54
company,54
budek,54
search,54
turner,54
instead,54
compared,54
boylan,54
require,54
bennett,54
brock,53
29th,53
league,53
immigration,53
wife,53
transfer,53
known,53
point,53
second,52
