,0
controller,173
tax,100
employee,91
amount,86
time,84
name,81
checks,81
report,78
email,77
check,77
data,75
sf,70
funds,63
number,63
response,63
list,63
property,60
b,59
copies,55
years,52
file,51
outstanding,51
total,50
contact,48
6253,48
us,47
21,47
services,47
payment,45
address,43
format,42
sfgov,42
paid,41
refund,40
sent,40
received,40
responsive,40
pay,39
advance,38
reports,37
2022,37
assistance,37
process,36
immediate,36
communications,36
2,36
questions,36
con,35
thanks,35
dear,35
and,35
unclaimed,35
electronic,34
2023,34
files,34
financial,34
business,33
stale,33
possible,33
m,33
accounts,33
dated,33
pdf,32
work,32
form,32
calendar,31
costs,31
sincerely,31
see,31
attached,31
good,31
gov,31
produce,30
per,30
cost,30
budget,30
used,30
use,30
street,29
days,29
rosenfield,29
help,28
fy,28
supervisors,28
period,28
much,28
access,28
payments,28
matter,27
general,27
2021,27
board,27
restitution,27
january,26
requires,26
fund,26
etc,26
well,26
alyssa,26
issued,26
health,26
reservoir,25
last,25
g,25
staff,25
fiscal,25
n,25
excel,24
fees,24
agency,24
taxes,24
eligible,24
full,24
prop,24
5,24
original,24
contracts,24
due,23
spreadsheet,23
includes,23
document,23
revenue,23
october,23
need,23
annual,23
lhh,23
20,23
exempt,23
analysis,22
person,22
regards,22
send,22
job,22
letter,22
hi,22
attention,22
required,22
payee,22
contract,21
every,21
part,21
inform,21
ask,21
working,21
get,21
compensation,21
3,21
30,21
providing,20
first,20
names,20
purpose,20
article,20
question,20
employees,20
place,20
phone,20
parks,20
requests,20
amounts,20
forward,20
mail,20
messages,20
vendor,19
mayor,19
claim,19
dr,19
assist,19
find,19
must,19
review,19
sewlal,19
415,19
contain,19
legal,19
let,18
make,18
look,18
non,18
obtain,18
fulfilling,18
pwc,18
concern,18
notify,18
research,18
right,18
end,18
submitted,18
either,18
specific,18
dollars,18
cochrane,17
title,17
database,17
receiving,17
emails,17
ben,17
note,17
released,17
project,17
fema,17
back,17
since,17
manager,17
march,17
carlton,17
subject,17
basis,16
cannabis,16
afternoon,16
kindly,16
67,16
ballot,16
6250,16
4,16
statute,16
i,16
purposes,16
items,16
provisions,16
prc,16
10,16
specifically,16
12,16
numbers,16
event,16
interest,16
funding,16
interested,16
commercial,16
direct,16
dollar,16
exist,16
quarter,15
range,15
et,15
rec,15
september,15
places,15
cal,15
currently,15
refunds,15
allocation,15
next,15
measure,15
policy,15
plan,15
written,15
baker,15
commission,15
order,15
day,15
text,15
past,15
annually,15
6,15
electronically,14
payroll,14
01,14
message,14
present,14
59,14
listed,14
issue,14
recent,14
cash,14
call,14
replacement,14
muckrock,14
june,14
appreciate,14
letters,14
t,14
receive,14
actual,14
attachments,14
behalf,14
housing,14
police,14
attorney,14
hours,14
25,14
7,14
determine,14
2f,14
d,14
additional,14
seq,14
covered,14
details,14
benefits,14
accounting,14
best,14
account,14
prefer,14
ap,13
94102,13
emergency,13
parcel,13
receipt,13
team,13
controllers,13
million,13
february,13
system,13
case,13
release,13
earlier,13
writing,13
december,13
respectfully,13
able,13
respond,13
constitution,13
directly,13
entity,13
search,13
type,13
attachment,13
uncashed,13
committee,13
audit,13
exact,13
rfp,13
applicable,13
individual,12
site,12
november,12
9,12
showing,12
looking,12
classification,12
today,12
might,12
local,12
inc,12
management,12
appeal,12
dept,12
meeting,12
open,12
exemption,12
rolling,12
award,12
different,12
program,12
8,12
rate,12
district,12
cms,12
employer,12
group,12
jan,12
website,12
sales,12
entire,12
reason,12
vs,12
000,11
client,11
portion,11
without,11
position,11
owner,11
reaching,11
overtime,11
pertaining,11
complete,11
advise,11
proposition,11
quarterly,11
administrative,11
documentation,11
material,11
final,11
correct,11
hope,11
county,11
cpra,11
redact,11
default,11
sites,11
francisco,11
fines,11
charges,11
departments,11
incurred,11
determination,11
st,11
2018,11
standard,11
expenses,11
still,11
budgets,11
trying,11
ten,11
cases,11
want,11
goodlett,11
regular,11
later,11
relating,11
responses,11
reporter,11
reference,11
apartments,11
already,11
claims,11
copying,11
abcdef,10
possession,10
2020,10
anticipated,10
requester,10
location,10
sonesta,10
kind,10
of,10
forms,10
money,10
ordered,10
delay,10
reissued,10
tehama,10
to,10
cc,10
peoplesoft,10
year,10
redacted,10
texts,10
teams,10
months,10
physician,10
discuss,10
entirety,10
businesses,10
collected,10
otherwise,10
freedom,10
hearing,10
set,10
complaint,10
item,10
harassment,10
service,10
cooperation,10
area,10
included,10
