,0
sexual,672
michael,572
ayele,548
discussions,546
black,523
women,520
disabilities,447
governor,411
rights,409
fbi,374
police,370
man,358
murder,345
national,326
time,323
report,314
woman,312
civil,297
disability,293
court,288
ms,280
aacl,278
college,277
parents,270
eeoc,269
agency,267
states,262
doj,259
rape,254
employment,253
white,250
school,250
years,248
assault,239
health,234
decision,230
told,227
percent,226
well,224
plaintiff,221
discrimination,219
york,218
missouri,213
workers,211
students,209
investigation,205
general,203
october,197
wage,196
university,195
children,194
work,193
case,193
conversations,190
depape,186
and,185
allegations,179
day,177
first,177
abuse,175
executive,175
title,174
enforcement,173
even,173
employee,173
media,171
dhs,171
united,171
abortion,170
israel,170
harassment,169
local,167
support,166
many,165
nassar,165
american,164
likely,163
commission,163
team,162
angeles,160
los,160
clery,160
jeanne,160
yes,160
times,160
state,160
complaint,159
ncd,159
purpose,155
committee,155
ice,151
without,151
informed,151
members,150
exonerations,150
news,149
ii,149
vii,148
effective,148
modmh,148
employees,148
tipped,147
minimum,147
pelosi,147
december,147
january,146
activities,146
concluded,145
holly,143
subject,139
education,139
misconduct,138
right,137
consent,137
attorney,137
suicide,137
justice,137
players,136
mental,135
violence,135
officers,133
racial,132
crimo,132
use,132
opportunity,131
2016,131
services,131
riley,131
legal,131
jennifer,131
wordpress,129
ann,129
prison,128
home,128
june,128
district,127
care,127
victims,126
number,126
charge,125
criminal,125
congress,124
child,123
staff,123
2015,123
lawrence,122
2013,120
aipac,119
rothwell,118
field,118
defendants,118
council,118
iii,118
according,118
training,117
ix,117
gov,116
westminster,116
go,116
charges,115
cases,115
issues,114
march,114
research,114
call,114
reported,114
asked,114
human,113
history,113
2018,112
way,111
make,111
sexually,111
policy,111
director,110
non,110
november,110
response,110
see,109
officer,109
family,109
caucasian,109
september,108
colleges,108
house,108
anti,107
month,107
safety,106
us,106
paul,106
finding,106
april,106
group,105
august,105
association,105
david,105
though,105
simon,104
website,104
high,104
convicted,104
much,103
among,103
held,102
get,102
world,101
since,101
service,101
affirmative,101
officials,100
supreme,100
contact,100
official,100
another,99
kaitlin,99
shooting,99
name,99
received,98
security,98
conduct,98
indianapolis,97
used,97
cable,97
life,96
months,96
degree,96
immigration,95
food,95
17,95
ocasio,95
member,95
n,95
community,95
cortez,95
never,95
fulton,94
iv,94
pdf,94
convictions,94
part,94
agencies,93
letter,93
several,93
making,93
griner,93
called,93
foia,92
back,92
uvalde,91
texas,91
hour,91
2014,90
job,90
universities,90
published,89
going,88
1991,88
days,88
investigative,87
evidence,87
press,87
committed,87
liberties,87
1964,87
16,86
others,86
working,86
advancement,86
later,86
entity,85
testified,85
treatment,85
ever,85
weinstein,85
sent,84
still,84
tara,84
schoolcraft,84
system,84
promptly,84
fast,84
gender,83
presented,83
person,83
18,82
say,82
file,82
w,82
exonerees,82
five,82
20,81
2,81
race,81
based,81
political,81
often,81
need,81
chamber,81
social,80
fsh,80
six,80
incident,80
says,80
equal,80
question,79
less,79
medical,79
individuals,79
felt,79
similar,79
21,79
must,79
county,78
processing,77
innocent,77
twitter,77
order,77
living,77
alexandria,77
upon,77
left,77
504,76
representatives,76
operations,76
assistant,75
families,75
disclosed,75
files,75
racist,75
vi,75
000,74
men,74
campus,74
complaints,74
bill,74
city,74
professional,74
musk,74
30,74
hours,74
2022,73
basis,73
failed,73
14,73
four,73
age,73
clear,73
took,73
concerns,72
m,72
process,72
sites,72
questions,72
28th,72
administration,72
facebook,71
elementary,71
want,71
efforts,71
academic,71
february,70
player,70
fee,70
find,70
writing,70
federal,70
place,70
guilty,70
gmail,70
old,69
described,69
recalled,69
program,69
